Title,Source Query,City,
M Lhuillier - Balabac,"atm in Balabac, Palawan, Philippines",Balabac,Not an ATM
Balabac Port,"public wifi in Balabac, Palawan, Philippines",Balabac,Only Café and coffee shop for Public wifi
ONOK ISLAND,"public wifi in Balabac, Palawan, Philippines",Balabac,Only Café and coffee shop for Public wifi
Sicsican Island Camp,"public wifi in Balabac, Palawan, Philippines",Balabac,Only Café and coffee shop for Public wifi
Kap Andong Travellers Inn [Powered by KilometerZeroPH],"public wifi in Balabac, Palawan, Philippines",Balabac,Only Café and coffee shop for Public wifi
Isla Malaya Camp & Tours Balabac,"public wifi in Balabac, Palawan, Philippines",Balabac,Only Café and coffee shop for Public wifi
Kap Andong Travel and Tours,"public wifi in Balabac, Palawan, Philippines",Balabac,Only Café and coffee shop for Public wifi
loren joy store,"convenience store in Balabac, Palawan, Philippines",Balabac,correct
Cabrera sari sari store,"convenience store in Balabac, Palawan, Philippines",Balabac,correct
Isla Brew D,"convenience store in Balabac, Palawan, Philippines",Balabac,Café(brew) not a store
Brew-tiful CafÃ©,"convenience store in Balabac, Palawan, Philippines",Balabac,Café(brew) not a store
Balabac Municipal Hall,"convenience store in Balabac, Palawan, Philippines",Balabac,municipal not a store
JING'S store,"convenience store in Balabac, Palawan, Philippines",Balabac,correct
Candaraman Airstrip,"transportation in Balabac, Palawan, Philippines",Balabac,Not meant for public transport 
Balabac Islet,"embassy in Balabac, Palawan, Philippines",Balabac,not an Embassy
Balabac Jewel Southern Palawan,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Agutayan Boardwalk,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Benlen Sandbar,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Rock Formation,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
KMZ Sandbar,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Candaraman Sand Bar,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Pink Sand,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Indalawan Rock Formation,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Tatak Balabac Souvenir Shop,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Batallaâ€™s Lodging House,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Sing and Swing Lodge,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
BYAHERA TRAVEL AND TOURS,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Balabac,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Candaraman Island,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Julla Lodging House,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Onok Beach,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
JD Lodge,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Immaculate Conception Parish,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
Marloe Lodging House,"tourist information in Balabac, Palawan, Philippines",Balabac,not a tourist information center
BPI,"atm in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
PNB Savings Bank,"atm in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Bea Beauty Salon and Spa - Main,"atm in Coron Busuanga, Palawan, Philippines",Coron Busuanga,Not an ATM
M Lhuillier - Coron Palawan,"atm in Coron Busuanga, Palawan, Philippines",Coron Busuanga,Not an ATM
ASA PHILIPPINES FOUNDATION CORON,"bank in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a Bank
Maybank Credit Card Bill Payments,"bank in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Pawnshop palawan,"bank in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a bank
Cebuana Lhuillier Pawnshop - Coron,"bank in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a bank
CRAVE HUB CORON PALAWAN,"bank in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a bank
24/7 Teleconsult Medical Clinic - Coron,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
ESP CLINIC and DIAGNOSTICS,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron District Hospital,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Municipal Health Office- Coron RHU,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
FCMC Wellness Center,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron Clinica Dentista,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Daganta dental clinic,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
IslandocSpa Aesthetic Center,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
