Title,Source Query,City,Verdict,Real Type (reference),Google Maps Link (verify)
Dapa Boulevard Park,"bars in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,Park,park,https://www.google.com/maps/place/Dapa+Boulevard+Park/data=!4m7!3m6!1s0x3303f9a1f46e2bf3:0x8edb545c013f653f!8m2!3d9.7547519!4d126.050986!16s%2Fg%2F11c4y62tsl!19sChIJ8ytu9KH5AzMRP2U_AVxU244?authuser=0&hl=en&rclk=1
Siargao Beach Club,"bars in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Night Club,night club,https://www.google.com/maps/place/Siargao+Beach+Club/data=!4m7!3m6!1s0x3303f784dd4a6029:0xb2f1fc06e871a567!8m2!3d9.7855507!4d126.1610946!16s%2Fg%2F11k4qhtk6v!19sChIJKWBK3YT3AzMRZ6Vx6Ab88bI?authuser=0&hl=en&rclk=1
Hightide Restobar Siargao,"bars in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,bar,bar,https://www.google.com/maps/place/Hightide+Restobar+Siargao/data=!4m7!3m6!1s0x3303f76315f9c1e3:0xb06de404a837a4fa!8m2!3d9.7781933!4d126.1457327!16s%2Fg%2F11t6_lxchz!19sChIJ48H5FWP3AzMR-qQ3qATkbbA?authuser=0&hl=en&rclk=1
Bar Ciao IAO,"bars in General Luna, Siargao & Surigao, Philippines",General Luna,bar,restaurant,https://www.google.com/maps/place/Bar+Ciao+IAO/data=!4m7!3m6!1s0x3303f7b64e28217f:0x963899ffa88e63bd!8m2!3d9.7918474!4d126.1616455!16s%2Fg%2F11y8f1z5gk!19sChIJfyEoTrb3AzMRvWOOqP-ZOJY?authuser=0&hl=en&rclk=1
Tiki Bar,"bars in General Luna, Siargao & Surigao, Philippines",General Luna,bar,bar,https://www.google.com/maps/place/Tiki+Bar/data=!4m7!3m6!1s0x3303f700083367c3:0x64a1d2aaefc3d333!8m2!3d9.7855337!4d126.161206!16s%2Fg%2F11v_4nq9sw!19sChIJw2czCAD3AzMRM9PD76rSoWQ?authuser=0&hl=en&rclk=1
Siargao Bakhaw Grill and Restobar,"bars in General Luna, Siargao & Surigao, Philippines",General Luna,bar,bar,https://www.google.com/maps/place/Siargao+Bakhaw+Grill+and+Restobar/data=!4m7!3m6!1s0x3304090060c047cf:0x862875cae923994b!8m2!3d9.8088984!4d126.1575002!16s%2Fg%2F11y53yyk3v!19sChIJz0fAYAAJBDMRS5kj6cp1KIY?authuser=0&hl=en&rclk=1
Boom's Siargao,"bars in General Luna, Siargao & Surigao, Philippines",General Luna,bar,(blank — judge by name/map),https://www.google.com/maps/place/Boom%27s+Siargao/data=!4m7!3m6!1s0x33040921849483bb:0xae2351fcb322f2af!8m2!3d9.8077052!4d126.1664393!16s%2Fg%2F11stpc8nfz!19sChIJu4OUhCEJBDMRr_Iis_xRI64?authuser=0&hl=en&rclk=1
Bonnie Siargao,"bars in General Luna, Siargao & Surigao, Philippines",General Luna,bar,tapas bar,https://www.google.com/maps/place/Bonnie+Siargao/data=!4m7!3m6!1s0x3303f7a44d5f2867:0xf64a9c517d1e2140!8m2!3d9.7900643!4d126.1619886!16s%2Fg%2F11sjzl3zxf!19sChIJZyhfTaT3AzMRQCEefVGcSvY?authuser=0&hl=en&rclk=1
Kwai Siargao,"bars in Siargao, Siargao & Surigao, Philippines",Siargao,bar,hotel,https://www.google.com/maps/place/Kwai+Siargao/data=!4m7!3m6!1s0x3303f700708d0d67:0x815e4ed5c37349cd!8m2!3d9.7876423!4d126.1611098!16s%2Fg%2F11wxpf1vml!19sChIJZw2NcAD3AzMRzUlzw9VOXoE?authuser=0&hl=en&rclk=1
Tiburon Siargao,"bars in Siargao, Siargao & Surigao, Philippines",Siargao,bar,restaurant,https://www.google.com/maps/place/Tiburon+Siargao/data=!4m7!3m6!1s0x3303f7e322d8a279:0x3075f9c7a9f03f9d!8m2!3d9.791477!4d126.161972!16s%2Fg%2F11tg9z2nc6!19sChIJeaLYIuP3AzMRnT_wqcf5dTA?authuser=0&hl=en&rclk=1
Coracasa Siargao Bed & Breakfast,"bed and breakfast in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,bed and Breakfast ,(blank — judge by name/map),https://www.google.com/maps/place/Coracasa+Siargao+Bed+%26+Breakfast/data=!4m11!3m10!1s0x3304097655929a3f:0xfab2107ffa206381!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.807112!4d126.1659621!16s%2Fg%2F11kpzmk8h3!19sChIJP5qSVXYJBDMRgWMg-n8Qsvo?authuser=0&hl=en&rclk=1
Marhay Villa Siargao,"bed and breakfast in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,bed and Breakfast ,(blank — judge by name/map),https://www.google.com/maps/place/Marhay+Villa+Siargao/data=!4m11!3m10!1s0x3303f77859f4d0c5:0xeff7c10730b006ed!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7912192!4d126.159888!16s%2Fg%2F11kr8pgx8h!19sChIJxdD0WXj3AzMR7QawMAfB9-8?authuser=0&hl=en&rclk=1
Lubihan Siargao,"bed and breakfast in General Luna, Siargao & Surigao, Philippines",General Luna,bed and Breakfast ,(blank — judge by name/map),https://www.google.com/maps/place/Lubihan+Siargao/data=!4m11!3m10!1s0x3303f79c8878eb8d:0x3b807e76d64c086a!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.791521!4d126.1610412!16s%2Fg%2F11h0tzwlmd!19sChIJjet4iJz3AzMRaghM1nZ-gDs?authuser=0&hl=en&rclk=1
