Title,City,Filed As,Verdict,Confidence,Real Type,Reason,Proposed Action,Raw Industry,Rating,Reviews,Address,Google Maps Link
Cayale Covered Court,Britania Islands,gym,INCORRECT,high,playground,type 'playground' is excluded from gym,drop from 'gym'  (true type: playground — reclassify there if wanted),Playground,5.0,(4),"X4M9+JGF Gymnasium, Tago, Surigao del Sur",https://www.google.com/maps/place/Cayale+Covered+Court/data=!4m7!3m6!1s0x33023bb41391fd5b:0x7011a784edf524f6!8m2!3d8.9840505!4d126.1188107!16s%2Fg%2F11m_kk17km!19sChIJW_2RE7Q7AjMR9iT17YSnEXA?authuser=0&hl=en&rclk=1
ZY ELoading Station,Bucas Grande,currency exchange,CORRECT,high,money transfer service,type 'money transfer service' matches currency exchange,keep in 'currency exchange',Money transfer service  Navarro Street Purok 5Closed  Opens 8 AM,4.0,(1),0938 407 4851,https://www.google.com/maps/place/ZY+ELoading+Station/data=!4m7!3m6!1s0x3303e34f16fc510b:0x621a17d326a376f7!8m2!3d9.6228052!4d125.9665522!16s%2Fg%2F11t2fth0gl!19sChIJC1H8Fk_jAzMR93ajJtMXGmI?authuser=0&hl=en&rclk=1
Dapa Ferry Terminal,Bucas Grande,currency exchange,REVIEW,low,,Industry blank — cannot judge,human review — no type signal,,3.6,(46),,https://www.google.com/maps/place/Dapa+Ferry+Terminal/data=!4m7!3m6!1s0x3303f9a1931a4c81:0x49705105c0138f6f!8m2!3d9.7551063!4d126.0504112!16s%2Fg%2F1tdx1nq2!19sChIJgUwak6H5AzMRb48TwAVRcEk?authuser=0&hl=en&rclk=1
Socorro District Hospital,Bucas Grande,medical clinic,CORRECT,high,hospital,type 'hospital' matches medical clinic,keep in 'medical clinic',Hospital,4.4,(5),"JX96+WJ6, Socorro, Surigao del Norte",https://www.google.com/maps/place/Socorro+District+Hospital/data=!4m7!3m6!1s0x3303e3b0ffeeef05:0x7a364fc3d3d727ee!8m2!3d9.619784!4d125.961513!16s%2Fg%2F1hc542fd_!19sChIJBe_u_7DjAzMR7ifX08NPNno?authuser=0&hl=en&rclk=1
Bucas Grande Foundation College,Bucas Grande,medical clinic,INCORRECT,high,community college,type 'community college' is not a medical clinic,drop from 'medical clinic'  (true type: community college — reclassify there if wanted),Community college,4.4,(7),"JX87+935, Timcang St, Albino Taruc, Socorro, Surigao del Norte",https://www.google.com/maps/place/Bucas+Grande+Foundation+College/data=!4m7!3m6!1s0x3303e3ae42796a91:0x25b9e214e118206c!8m2!3d9.6158903!4d125.9627328!16s%2Fg%2F11xdjlwjw!19sChIJkWp5Qq7jAzMRbCAY4RTiuSU?authuser=0&hl=en&rclk=1
Guil's Pharmacy,Bucas Grande,pharmacy,CORRECT,high,pharmacy,type 'pharmacy' matches pharmacy,keep in 'pharmacy',Pharmacy,5.0,(2),"JX98+35G, Socorro, Surigao del Norte",https://www.google.com/maps/place/Guil%27s+Pharmacy/data=!4m7!3m6!1s0x3303e3dc21bde199:0xc93f189b7946f058!8m2!3d9.6176875!4d125.9654411!16s%2Fg%2F11fj_f7z8j!19sChIJmeG9IdzjAzMRWPBGeZsYP8k?authuser=0&hl=en&rclk=1
Cagdianao Gym,Bucas Grande,gym,CORRECT,high,community center,"type 'community center', but name reads as gym",keep in 'gym',Community center,5.0,(2),"GVH6+XH9, Claver, Surigao del Norte",https://www.google.com/maps/place/Cagdianao+Gym/data=!4m7!3m6!1s0x330161007186e259:0x101ea3b019aeee4b!8m2!3d9.5302037!4d125.8616408!16s%2Fg%2F11x5p02mrl!19sChIJWeKGcQBhATMRS-6uGbCjHhA?authuser=0&hl=en&rclk=1
Socorro Port,Bucas Grande,public wifi,REVIEW,low,,Industry blank — cannot judge,human review — no type signal,,4.2,(14),,https://www.google.com/maps/place/Socorro+Port/data=!4m7!3m6!1s0x3303e3386012c59d:0x184ab0af6d821d0c!8m2!3d9.6168954!4d125.9663643!16s%2Fg%2F11f6kxd4v8!19sChIJncUSYDjjAzMRDB2Cba-wShg?authuser=0&hl=en&rclk=1
Buko Love Stop fresh co,Bucas Grande,convenience store,INCORRECT,high,juice shop,type 'juice shop' is excluded from convenience store,drop from 'convenience store'  (true type: juice shop — reclassify there if wanted),Juice shop,4.6,(5),"M3VP+43W, Unnamed Road, Dapa, Surigao del Norte",https://www.google.com/maps/place/Buko+Love+Stop+fresh+co/data=!4m7!3m6!1s0x3303fbe9256acac3:0xd62f6f3216d48da6!8m2!3d9.6928684!4d126.0851979!16s%2Fg%2F11j3553qbk!19sChIJw8pqJen7AzMRpo3UFjJvL9Y?authuser=0&hl=en&rclk=1
Bahay ng pogi,Bucas Grande,convenience store,INCORRECT,high,coffee shop,type 'coffee shop' is excluded from convenience store,drop from 'convenience store'  (true type: coffee shop — reclassify there if wanted),Coffee shop,5.0,(1),"M3VG+3VC, Corregidor, Dapa, Surigao del Norte",https://www.google.com/maps/place/Bahay+ng+pogi/data=!4m7!3m6!1s0x3303fb0026d1c66d:0x70b374a0466fee60!8m2!3d9.6926907!4d126.0771347!16s%2Fg%2F11yjl7sn7l!19sChIJbcbRJgD7AzMRYO5vRqB0s3A?authuser=0&hl=en&rclk=1
Carbon,Bucas Grande,laundry,CORRECT,high,laundry,type 'laundry' matches laundry,keep in 'laundry',Laundry,4.0,(1),"JW6R+653, Socorro, Surigao del Norte",https://www.google.com/maps/place/Carbon/data=!4m7!3m6!1s0x3303e300268f66e7:0x5a6a2db19a243caa!8m2!3d9.6105208!4d125.940429!16s%2Fg%2F11xcnjvdjq!19sChIJ52aPJgDjAzMRqjwkmrEtalo?authuser=0&hl=en&rclk=1
CATSCO Main Office,Bucas Grande,transportation,CORRECT,high,transportation service,type 'transportation service' matches transportation,keep in 'transportation',Transportation service,5.0,(1),"GVM6+4J5, Cagdianao, Claver, Surigao del Norte",https://www.google.com/maps/place/CATSCO+Main+Office/data=!4m7!3m6!1s0x330161007f40552d:0x978a803521330ff9!8m2!3d9.5327613!4d125.8616193!16s%2Fg%2F11vwzjm46v!19sChIJLVVAfwBhATMR-Q8zITWAipc?authuser=0&hl=en&rclk=1
Corregidor dapa surigao del norte,Bucas Grande,transportation,CORRECT,high,transportation service,type 'transportation service' matches transportation,keep in 'transportation',Transportation service,4.0,(4),"P32G+4VP, Dapa, Surigao del Norte",https://www.google.com/maps/place/Corregidor+dapa+surigao+del+norte/data=!4m7!3m6!1s0x3303fb00044aac8d:0x85be4ca63b15f686!8m2!3d9.700346!4d126.0771985!16s%2Fg%2F11vqmb1bt6!19sChIJjaxKBAD7AzMRhvYVO6ZMvoU?authuser=0&hl=en&rclk=1
J&T Express F-Socorro DHSP,Bucas Grande,transportation,INCORRECT,high,courier service,type 'courier service' is not a transportation,drop from 'transportation'  (true type: courier service — reclassify there if wanted),Courier service,5.0,(1),"JX87+JCH, Socorro, Surigao del Norte",https://www.google.com/maps/place/J%26T+Express+F-Socorro+DHSP/data=!4m7!3m6!1s0x3303e3006de42d9f:0x7e9dcb58b699af2c!8m2!3d9.6165509!4d125.9636142!16s%2Fg%2F11x7rgd4bq!19sChIJny3kbQDjAzMRLK-ZtljLnX4?authuser=0&hl=en&rclk=1
Dapa Seaport,Bucas Grande,transportation,CORRECT,medium,seaport,name reads as transportation,keep in 'transportation',Seaport,3.9,(17),"Dapa, Surigao del Norte",https://www.google.com/maps/place/Dapa+Seaport/data=!4m7!3m6!1s0x3303f9a192eb65f1:0xdf00749e09324d9!8m2!3d9.7550751!4d126.0505174!16s%2Fg%2F1tcv3vh2!19sChIJ8WXrkqH5AzMR2SST4EkH8A0?authuser=0&hl=en&rclk=1
Del Pilar Bridge,Bucas Grande,transportation,INCORRECT,high,bridge,type 'bridge' is not a transportation,drop from 'transportation'  (true type: bridge — reclassify there if wanted),Bridge,4.0,(1),"JXH3+4X, Socorro, Surigao del Norte",https://www.google.com/maps/place/Del+Pilar+Bridge/data=!4m7!3m6!1s0x3303e3002ec3cecd:0xe2ba705a139aba64!8m2!3d9.6278531!4d125.9549867!16s%2Fg%2F11myg3c505!19sChIJzc7DLgDjAzMRZLqaE1pwuuI?authuser=0&hl=en&rclk=1
Safeways Gasoline Station,Bucas Grande,gas station,CORRECT,high,diesel fuel supplier,type 'diesel fuel supplier' matches gas station,keep in 'gas station',Diesel fuel supplier  JWWC+PGROpen,5.0,(1),,https://www.google.com/maps/place/Safeways+Gasoline+Station/data=!4m7!3m6!1s0x3303e3c562b3e069:0xdcf7d8a490d5a488!8m2!3d9.6468714!4d125.9212595!16s%2Fg%2F11nykvcw5n!19sChIJaeCzYsXjAzMRiKTVkKTY99w?authuser=0&hl=en&rclk=1
Kj GASOLINE STATION,Bucas Grande,gas station,CORRECT,high,gas station,type 'gas station' matches gas station,keep in 'gas station',Gas station  JWGR+7W5 Socorro - Estrella - Pamosaingan RdClosed  Opens 6 AM,4.5,(2),0998 453 7121,https://www.google.com/maps/place/Kj+GASOLINE+STATION/data=!4m7!3m6!1s0x3303e372030f525b:0xe20512c5742f4fef!8m2!3d9.6256397!4d125.9423729!16s%2Fg%2F11s7zn4vpn!19sChIJW1IPA3LjAzMR708vdMUSBeI?authuser=0&hl=en&rclk=1
Amira Gasoline Station,Bucas Grande,gas station,CORRECT,medium,,name reads as gas station,keep in 'gas station',,5.0,(1),,https://www.google.com/maps/place/Amira+Gasoline+Station/data=!4m7!3m6!1s0x3303e3d21d22d029:0x6735fc637c38ba7c!8m2!3d9.622435!4d125.954293!16s%2Fg%2F11tdjjsx7n!19sChIJKdAiHdLjAzMRfLo4fGP8NWc?authuser=0&hl=en&rclk=1
LTC Gasoline Station,Bucas Grande,gas station,CORRECT,medium,,name reads as gas station,keep in 'gas station',,4.0,(1),,https://www.google.com/maps/place/LTC+Gasoline+Station/data=!4m7!3m6!1s0x3303e3004e01bc35:0xf03685fb3e9f23f2!8m2!3d9.6128708!4d125.9387734!16s%2Fg%2F11xcnjk6fp!19sChIJNbwBTgDjAzMR8iOfPvuFNvA?authuser=0&hl=en&rclk=1
Kilometer Zero (Bucas Grande Island),Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,4.3,(3),"JX98+895, Socorro, Surigao del Norte",https://www.google.com/maps/place/Kilometer+Zero+%28Bucas+Grande+Island%29/data=!4m7!3m6!1s0x3303e3cceb2a5cbd:0x975c51e5bc2fd612!8m2!3d9.618107!4d125.965978!16s%2Fg%2F11k4k9thkp!19sChIJvVwq68zjAzMREtYvvOVRXJc?authuser=0&hl=en&rclk=1
Sohoton Cave,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,5.0,(1),"HWVC+MC, Socorro, Surigao del Norte",https://www.google.com/maps/place/Sohoton+Cave/data=!4m7!3m6!1s0x3303e1003680338d:0x1ceac0d8f051fba0!8m2!3d9.5941406!4d125.921103!16s%2Fg%2F11zfnt7ypx!19sChIJjTOANgDhAzMRoPtR8NjA6hw?authuser=0&hl=en&rclk=1
Horseshoe,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,4.7,(25),"HWRC+GF3, San Roque - Sabang, Socorro, Surigao del Norte",https://www.google.com/maps/place/Horseshoe/data=!4m7!3m6!1s0x3303e1349bc33d13:0xea9f132df613d8ce!8m2!3d9.5912688!4d125.9211805!16s%2Fg%2F11gns7127p!19sChIJEz3DmzThAzMRztgT9i0Tn-o?authuser=0&hl=en&rclk=1
Kapihan Nature and Adventure Park,Bucas Grande,tourist information,INCORRECT,medium,park,name implies not a real tourist information,drop from 'tourist information'  (true type: park — reclassify there if wanted),Park,4.4,(19),"MX8G+G5G, Socorro, Surigao del Norte",https://www.google.com/maps/place/Kapihan+Nature+and+Adventure+Park/data=!4m7!3m6!1s0x3303e33479f7e169:0x4cab7e46aa43b5d1!8m2!3d9.6663153!4d125.9754487!16s%2Fg%2F11by_h6vjf!19sChIJaeH3eTTjAzMR0bVDqkZ-q0w?authuser=0&hl=en&rclk=1
