Title,City,Filed As,Verdict,Action,Re-filed To,Reason,Note
Greenfalls Leisure Farm and Resort,Britania Islands,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Elena Hostel & Hostel Cafe,Bucas Grande,hostels,REVIEW,keep,hostels,no rule for amenity 'hostels',uncertain — kept by default
Sohoton Bay Resort,Bucas Grande,hostels,REVIEW,keep,hostels,no rule for amenity 'hostels',uncertain — kept by default
Enchanted Cove Resort,Bucas Grande,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Mpire Resort,Bucas Grande,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Club Tara Resort,Bucas Grande,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Hidden Island Resort,Bucas Grande,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Serenity Oceanside Guest House,Bucas Grande,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Isla Bucas Grande Resort,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
GREEN BEACH RESORT - Bucas Grande Island,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Bucas Grande Balanghai Hotel,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Sohoton Island Paradise Resort,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Anthony's Seaside Guesthouse,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Sohoton Cove,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Leeter Island,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Dagatan Sifai Resort,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Tiktikan Lagoon Cottages,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Bucas Grande Tour Company,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Island Vacations Country Inn,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Happy-Place Resort,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Villa Harkrisha Resort,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Czarelle Native Garden Inn,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Camp and Swim at Paraiso De Jubang,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Magkukuob Cave,Bucas Grande,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
