Title,Rating,Reviews,Phone,WhatsApp,Instagram,Facebook,Industry,Address,Website,Image,Amenities,Pitch,Latitude,Longitude,Google Maps Link,Source Query,City
ZY ELoading Station,4.0,(1),938 407 4851,https://wa.me/9384074851,,https://www.facebook.com/profile.php?id=100068634862208,Money transfer service  Navarro Street Purok 5Closed  Opens 8 AM,0938 407 4851,https://www.facebook.com/profile.php?id=100068634862208,,,,9.6228052,125.9665522,https://www.google.com/maps/place/ZY+ELoading+Station/data=!4m7!3m6!1s0x3303e34f16fc510b:0x621a17d326a376f7!8m2!3d9.6228052!4d125.9665522!16s%2Fg%2F11t2fth0gl!19sChIJC1H8Fk_jAzMR93ajJtMXGmI?authuser=0&hl=en&rclk=1,"currency exchange in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Dapa Ferry Terminal,3.6,(46),,,,,,,,,,,9.7551063,126.0504112,https://www.google.com/maps/place/Dapa+Ferry+Terminal/data=!4m7!3m6!1s0x3303f9a1931a4c81:0x49705105c0138f6f!8m2!3d9.7551063!4d126.0504112!16s%2Fg%2F1tdx1nq2!19sChIJgUwak6H5AzMRb48TwAVRcEk?authuser=0&hl=en&rclk=1,"currency exchange in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Socorro District Hospital,4.4,(5),0868262550,https://wa.me/0868262550,,https://www.facebook.com/people,Hospital,"JX96+WJ6, Socorro, Surigao del Norte",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFK_ujR52uvQPKT08C2aZ8AemoNRpCo-MqmrJG0JhEzEJLJM76uf-lArl6A9RNSxlXwHmZfs-ptAAcRYNMXVqkqi-8rVlmBx0O_nWHuFc7tfZDdht59ZPL9iGFgPCoDOvxYPD-VIg=w2048-h1536-k-no,"Wheelchair accessible, Wheelchair accessible entrance, Accessible",,9.619784,125.961513,https://www.google.com/maps/place/Socorro+District+Hospital/data=!4m7!3m6!1s0x3303e3b0ffeeef05:0x7a364fc3d3d727ee!8m2!3d9.619784!4d125.961513!16s%2Fg%2F1hc542fd_!19sChIJBe_u_7DjAzMR7ifX08NPNno?authuser=0&hl=en&rclk=1,"medical clinic in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Guil's Pharmacy,5.0,(2),,,https://www.instagram.com/guil_pharmacy,https://www.facebook.com/100075824798232,Pharmacy,"JX98+35G, Socorro, Surigao del Norte",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUi7gHB6ZGfKCMlCNoHbTQTeF1DzTtvJXkTK-yGjBDEUbjGzZmB2jpZ4QEbjir99J_DI3fU8uYsahAj-PLmnYxbr_Lf4lUW5K7jxmqElzd_WpBz1SomEqapzA2TgZ-8z1dfxsF=w2048-h1536-k-no,,,9.6176875,125.9654411,https://www.google.com/maps/place/Guil%27s+Pharmacy/data=!4m7!3m6!1s0x3303e3dc21bde199:0xc93f189b7946f058!8m2!3d9.6176875!4d125.9654411!16s%2Fg%2F11fj_f7z8j!19sChIJmeG9IdzjAzMRWPBGeZsYP8k?authuser=0&hl=en&rclk=1,"pharmacy in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Cagdianao Gym,5.0,(2),,,,https://www.facebook.com/cagdianaonationalhighschool,Community center,"GVH6+XH9, Claver, Surigao del Norte",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECgOL8o_q_heNSeUznZZskpojiyFceI9_NIJ9Uuk9fpraUcZOi2zGBnmleMltb2Its2ok0rpAqKNgbW0ngTFtxY81-qvrSuS67i5QEBtpNniftWz6ct-Vs9xetSDenUauDyFQ=w2048-h1536-k-no,Gym,,9.5302037,125.8616408,https://www.google.com/maps/place/Cagdianao+Gym/data=!4m7!3m6!1s0x330161007186e259:0x101ea3b019aeee4b!8m2!3d9.5302037!4d125.8616408!16s%2Fg%2F11x5p02mrl!19sChIJWeKGcQBhATMRS-6uGbCjHhA?authuser=0&hl=en&rclk=1,"gym in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Socorro Port,4.2,(14),,,,,,,,,,,9.6168954,125.9663643,https://www.google.com/maps/place/Socorro+Port/data=!4m7!3m6!1s0x3303e3386012c59d:0x184ab0af6d821d0c!8m2!3d9.6168954!4d125.9663643!16s%2Fg%2F11f6kxd4v8!19sChIJncUSYDjjAzMRDB2Cba-wShg?authuser=0&hl=en&rclk=1,"public wifi in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Bahay ng pogi,5.0,(1),,,,https://www.facebook.com/Mangtoroy87,Coffee shop,"M3VG+3VC, Corregidor, Dapa, Surigao del Norte",,https://streetviewpixels-pa.googleapis.com/?cb_client,,,9.6926907,126.0771347,https://www.google.com/maps/place/Bahay+ng+pogi/data=!4m7!3m6!1s0x3303fb0026d1c66d:0x70b374a0466fee60!8m2!3d9.6926907!4d126.0771347!16s%2Fg%2F11yjl7sn7l!19sChIJbcbRJgD7AzMRYO5vRqB0s3A?authuser=0&hl=en&rclk=1,"public wifi in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Carbon,4.0,(1),,,,https://www.facebook.com/SocorroEcopark,Laundry,"JW6R+653, Socorro, Surigao del Norte",,https://streetviewpixels-pa.googleapis.com/?cb_client,,,9.6105208,125.940429,https://www.google.com/maps/place/Carbon/data=!4m7!3m6!1s0x3303e300268f66e7:0x5a6a2db19a243caa!8m2!3d9.6105208!4d125.940429!16s%2Fg%2F11xcnjvdjq!19sChIJ52aPJgDjAzMRqjwkmrEtalo?authuser=0&hl=en&rclk=1,"laundry in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
CATSCO Main Office,5.0,(1),,,,https://www.facebook.com/61552622207495,Transportation service,"GVM6+4J5, Cagdianao, Claver, Surigao del Norte",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLqZn7vn2zlaDJEO99gm49i6YaB-qX3px3S6gx1WvhM_Oz0GxduJ9o0Bin_UeNn_hZtVnGwX37tCUtvrJ9yb2C3JqSkDqioSFIkItTCr9RaHeumRtHniE0OyyF6OQhgZOTLAlc=w2048-h1536-k-no,,,9.5327613,125.8616193,https://www.google.com/maps/place/CATSCO+Main+Office/data=!4m7!3m6!1s0x330161007f40552d:0x978a803521330ff9!8m2!3d9.5327613!4d125.8616193!16s%2Fg%2F11vwzjm46v!19sChIJLVVAfwBhATMR-Q8zITWAipc?authuser=0&hl=en&rclk=1,"transportation in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Corregidor dapa surigao del norte,4.0,(4),,,,https://www.facebook.com/pages,Transportation service,"P32G+4VP, Dapa, Surigao del Norte",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyGUpCJuRnqZGKR3v27OxunXwEdQVxGmq3-db-PzhSxB2-DtcDYl3qQ8qmhQ-USnLNK6Mh-jmejOiQcitbke62hJpv9kmh87W9EURWaAkktNItR4AcDD4tgYwurZ_RIU2FTNDkvA=w2048-h1536-k-no,,,9.700346,126.0771985,https://www.google.com/maps/place/Corregidor+dapa+surigao+del+norte/data=!4m7!3m6!1s0x3303fb00044aac8d:0x85be4ca63b15f686!8m2!3d9.700346!4d126.0771985!16s%2Fg%2F11vqmb1bt6!19sChIJjaxKBAD7AzMRhvYVO6ZMvoU?authuser=0&hl=en&rclk=1,"transportation in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
J&T Express F-Socorro DHSP,5.0,(1),,,,https://www.facebook.com/jntexpressbicol,Courier service,"JX87+JCH, Socorro, Surigao del Norte",,https://streetviewpixels-pa.googleapis.com/?cb_client,,,9.6165509,125.9636142,https://www.google.com/maps/place/J%26T+Express+F-Socorro+DHSP/data=!4m7!3m6!1s0x3303e3006de42d9f:0x7e9dcb58b699af2c!8m2!3d9.6165509!4d125.9636142!16s%2Fg%2F11x7rgd4bq!19sChIJny3kbQDjAzMRLK-ZtljLnX4?authuser=0&hl=en&rclk=1,"post office in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Dapa Seaport,3.9,(17),,,,https://www.facebook.com/DapaPort,Seaport,"Dapa, Surigao del Norte",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsIrbUO7TB_1OQ4oOG2sKs6m7I4YaTVZRgB3Tlo__JOdXGsSCSr-Hf74fJ_2psJ0YDpO1gHRHrbd5QWLl9ndVX8WyVeJJ-qrmtKVmjP4KoKqWs9Z-TPy_rJ984PgrNZ55qyQQ=w2048-h1536-k-no,"Wheelchair accessible, Wheelchair accessible entrance, Accessible",,9.7550751,126.0505174,https://www.google.com/maps/place/Dapa+Seaport/data=!4m7!3m6!1s0x3303f9a192eb65f1:0xdf00749e09324d9!8m2!3d9.7550751!4d126.0505174!16s%2Fg%2F1tcv3vh2!19sChIJ8WXrkqH5AzMR2SST4EkH8A0?authuser=0&hl=en&rclk=1,"transportation in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Safeways Gasoline Station,5.0,(1),915 843 5899,https://wa.me/9158435899,,,Diesel fuel supplier  JWWC+PGROpen,,,,,,9.6468714,125.9212595,https://www.google.com/maps/place/Safeways+Gasoline+Station/data=!4m7!3m6!1s0x3303e3c562b3e069:0xdcf7d8a490d5a488!8m2!3d9.6468714!4d125.9212595!16s%2Fg%2F11nykvcw5n!19sChIJaeCzYsXjAzMRiKTVkKTY99w?authuser=0&hl=en&rclk=1,"gas station in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Kj GASOLINE STATION,4.5,(2),998 453 7121,https://wa.me/9984537121,,,Gas station  JWGR+7W5 Socorro - Estrella - Pamosaingan RdClosed  Opens 6 AM,0998 453 7121,,,,,9.6256397,125.9423729,https://www.google.com/maps/place/Kj+GASOLINE+STATION/data=!4m7!3m6!1s0x3303e372030f525b:0xe20512c5742f4fef!8m2!3d9.6256397!4d125.9423729!16s%2Fg%2F11s7zn4vpn!19sChIJW1IPA3LjAzMR708vdMUSBeI?authuser=0&hl=en&rclk=1,"gas station in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
Amira Gasoline Station,5.0,(1),,,,,,,,,,,9.622435,125.954293,https://www.google.com/maps/place/Amira+Gasoline+Station/data=!4m7!3m6!1s0x3303e3d21d22d029:0x6735fc637c38ba7c!8m2!3d9.622435!4d125.954293!16s%2Fg%2F11tdjjsx7n!19sChIJKdAiHdLjAzMRfLo4fGP8NWc?authuser=0&hl=en&rclk=1,"gas station in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
LTC Gasoline Station,4.0,(1),,,,,,,,,,,9.6128708,125.9387734,https://www.google.com/maps/place/LTC+Gasoline+Station/data=!4m7!3m6!1s0x3303e3004e01bc35:0xf03685fb3e9f23f2!8m2!3d9.6128708!4d125.9387734!16s%2Fg%2F11xcnjk6fp!19sChIJNbwBTgDjAzMR8iOfPvuFNvA?authuser=0&hl=en&rclk=1,"gas station in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande
